ID,Sex,Spayed_or_not,Birthday
094-000019,Female,Neutered,2010-08
094-000020,Female,Neutered,2011-06
094-000026,Female,Neutered,2011-09
094-000035,Female,Neutered,2011-06
094-000043,Female,Neutered,2011-04
094-000054,Male,Intact,2011-02
094-000055,Female,Neutered,2011-02
094-000056,Female,Neutered,2011-09
094-000057,Female,Neutered,2011-03
094-000063,Male,Neutered,2010-12
094-000068,Male,Neutered,2010-10
094-000076,Female,Neutered,2010-02
094-000080,Female,Neutered,2011-08
094-000081,Male,Neutered,2010-02
094-000084,Male,Neutered,2011-09
094-000085,Male,Intact,2011-06
094-000105,Female,Intact,2011-04
094-000114,Female,Intact,2011-04
094-000115,Male,Neutered,2011-09
094-000118,Female,Neutered,2011-05
094-000119,Female,Neutered,2011-04
094-000120,Male,Neutered,2011-05
094-000122,Female,Neutered,2011-05
094-000127,Female,Neutered,2011-08
094-000131,Male,Intact,2011-06
094-000137,Female,Neutered,2010-10
094-000138,Female,Neutered,2010-04
094-000147,Male,Neutered,2011-05
094-000151,Male,Intact,2011-08
094-000152,Female,Neutered,2010-03
094-000155,Male,Neutered,2010-10
094-000157,Female,Neutered,2011-05
094-000166,Female,Neutered,2011-05
094-000167,Female,Neutered,2011-04
094-000174,Female,Neutered,2011-05
094-000175,Male,Neutered,2011-08
094-000179,Female,Neutered,2011-11
094-000184,Female,Neutered,2011-09
094-000195,Male,Neutered,2012-02
094-000199,Male,Intact,2011-04
094-000217,Male,Neutered,2011-09
094-000218,Female,Neutered,2011-09
094-000222,Male,Neutered,2010-04
094-000228,Male,Neutered,2010-05
094-000231,Male,Neutered,2010-04
094-000234,Female,Neutered,2011-02
094-000239,Female,Neutered,2011-04
094-000240,Female,Neutered,2011-04
094-000243,Female,Neutered,2010-07
094-000246,Female,Neutered,2011-06
094-000247,Female,Neutered,2011-02
094-000253,Male,Neutered,2011-10
094-000259,Male,Neutered,2010-09
094-000269,Female,Neutered,2010-05
094-000276,Female,Neutered,2011-03
094-000283,Female,Intact,2010-07
094-000284,Female,Intact,2011-05
094-000287,Female,Neutered,2010-05
094-000288,Male,Intact,2011-08
094-000291,Female,Neutered,2011-07
094-000296,Male,Intact,2011-12
094-000301,Female,Neutered,2011-06
094-000314,Male,Intact,2011-08
094-000319,Female,Neutered,2010-05
094-000320,Male,Neutered,2011-04
094-000321,Male,Neutered,2010-05
094-000322,Female,Neutered,2011-04
094-000337,Female,Neutered,2011-08
094-000340,Female,Neutered,2011-09
094-000343,Female,Neutered,2011-06
094-000344,Female,Neutered,2011-04
094-000376,Male,Intact,2011-04
094-000392,Female,Neutered,2011-10
094-000393,Female,Neutered,2010-04
094-000395,Female,Neutered,2010-08
094-000398,Female,Neutered,2011-12
094-000399,Female,Neutered,2010-08
094-000400,Male,Neutered,2011-11
094-000404,Female,Neutered,2011-05
094-000409,Male,Neutered,2011-10
094-000424,Male,Neutered,2010-12
094-000429,Female,Neutered,2011-08
094-000430,Male,Intact,2012-01
094-000431,Male,Neutered,2011-11
094-000441,Female,Neutered,2012-01
094-000442,Male,Intact,2011-03
094-000443,Male,Neutered,2011-05
094-000460,Male,Neutered,2011-12
094-000461,Male,Intact,2010-12
094-000467,Female,Neutered,2010-05
094-000470,Female,Neutered,2011-07
094-000471,Male,Neutered,2010-08
094-000472,Male,Neutered,2010-07
094-000476,Male,Neutered,2011-03
094-000479,Male,Intact,2010-09
094-000481,Female,Neutered,2010-08
094-000487,Female,Neutered,2011-02
094-000496,Female,Neutered,2011-06
094-000504,Female,Neutered,2011-10
094-000516,Female,Neutered,2010-06
094-000519,Male,Neutered,2010-06
094-000520,Male,Neutered,2011-04
094-000523,Female,Neutered,2011-07
094-000524,Female,Neutered,2011-03
094-000525,Female,Neutered,2010-07
094-000528,Female,Neutered,2010-11
094-000538,Female,Neutered,2011-04
094-000552,Male,Neutered,2011-12
094-000562,Female,Neutered,2012-02
094-000568,Male,Neutered,2011-02
094-000573,Male,Intact,2010-09
094-000574,Female,Neutered,2011-04
094-000577,Male,Neutered,2010-06
094-000586,Male,Intact,2010-12
094-000591,Female,Neutered,2012-01
094-000595,Male,Neutered,2010-10
094-000625,Male,Intact,2010-08
094-000628,Male,Neutered,2011-02
094-000632,Female,Neutered,2010-10
094-000633,Female,Intact,2011-04
094-000638,Male,Intact,2011-01
094-000645,Female,Neutered,2011-09
094-000649,Male,Intact,2010-08
094-000655,Male,Neutered,2012-03
094-000661,Female,Intact,2011-05
094-000669,Female,Neutered,2012-03
094-000677,Female,Neutered,2011-12
094-000679,Female,Neutered,2011-07
094-000683,Female,Intact,2011-06
094-000684,Female,Neutered,2013-02
094-000685,Female,Intact,2010-07
094-000686,Male,Intact,2011-12
094-000687,Male,Neutered,2011-05
094-000699,Female,Neutered,2011-11
094-000702,Female,Neutered,2011-04
094-000716,Male,Neutered,2011-05
094-000733,Male,Neutered,2010-08
094-000736,Female,Neutered,2011-06
094-000744,Male,Neutered,2010-07
094-000755,Female,Neutered,2011-06
094-000760,Male,Neutered,2010-07
094-000774,Male,Neutered,2012-05
094-000776,Male,Intact,2011-10
094-000786,Female,Neutered,2011-12
094-000789,Female,Neutered,2011-03
094-000790,Male,Neutered,2010-07
094-000793,Male,Neutered,2012-04
094-000795,Male,Neutered,2011-04
094-000796,Male,Neutered,2012-01
094-000797,Female,Neutered,2012-04
094-000800,Female,Neutered,2012-05
094-000809,Male,Neutered,2012-06
094-000829,Male,Neutered,2011-01
094-000830,Male,Neutered,2010-12
094-000831,Male,Intact,2011-05
094-000832,Male,Intact,2011-05
094-000835,Male,Neutered,2012-05
094-000840,Male,Neutered,2012-06
094-000842,Male,Intact,2010-11
094-000843,Female,Neutered,2011-04
094-000844,Female,Neutered,2011-03
094-000851,Female,Neutered,2012-03
094-000852,Male,Neutered,2011-02
094-000858,Female,Neutered,2012-05
094-000866,Male,Neutered,2011-03
094-000871,Female,Neutered,2011-11
094-000873,Female,Neutered,2011-11
094-000874,Male,Neutered,2011-03
094-000875,Male,Neutered,2010-10
094-000877,Male,Neutered,2011-08
094-000880,Male,Neutered,2011-12
094-000881,Male,Intact,2011-03
094-000887,Female,Neutered,2012-04
094-000891,Male,Neutered,2011-08
094-000895,Male,Intact,2011-09
094-001877,Male,Neutered,2011-03
094-001897,Male,Neutered,2012-06
094-001909,Female,Intact,2011-09
094-001917,Female,Neutered,2011-05
094-001922,Male,Neutered,2012-05
094-001929,Female,Neutered,2012-06
094-001940,Male,Neutered,2010-10
094-001957,Male,Neutered,2011-06
094-001959,Male,Neutered,2010-10
094-001972,Female,Neutered,2011-03
094-002000,Female,Neutered,2011-12
094-002002,Female,Neutered,2011-01
094-002003,Female,Neutered,2011-12
094-002009,Female,Neutered,2011-08
094-002010,Male,Intact,2012-03
094-002027,Male,Intact,2011-01
094-002031,Female,Neutered,2011-07
094-002032,Female,Neutered,2012-01
094-002035,Male,Intact,2011-03
094-002065,Male,Neutered,2011-02
094-002079,Male,Neutered,2011-05
094-002089,Male,Neutered,2011-05
094-002095,Male,Intact,2011-05
094-002103,Male,Neutered,2012-05
094-002112,Male,Intact,2011-05
094-002116,Male,Neutered,2012-07
094-002125,Male,Neutered,2011-11
094-002131,Female,Intact,2011-03
094-002133,Male,Neutered,2012-05
094-002136,Male,Neutered,2011-05
094-002141,Male,Neutered,2011-09
094-002158,Female,Neutered,2011-09
094-002166,Male,Neutered,2011-03
094-002169,Male,Neutered,2012-03
094-002188,Female,Neutered,2012-04
094-002193,Male,Neutered,2011-04
094-002201,Male,Neutered,2012-04
094-002217,Male,Intact,2012-05
094-002282,Female,Intact,2012-02
094-002286,Female,Neutered,2010-10
094-002299,Female,Neutered,2012-03
094-002301,Female,Intact,2012-08
094-002320,Female,Neutered,2011-03
